1|Consolidated_Rail_Corp.
2|say
3|it
4|would
5|spend
6|more
7|than
8|$_30_million
9|on
10|1000
11|enclose
12|railcar
13|for
14|transport
15|auto
16|the
17|multilevel
18|schedule
19|delivery
20|in
21|1990
22|will
23|PASS
24|make
25|by
26|Thrall_Manufacturing_Co.
27|a
28|Chicago
29|Heights
30|Ill.
31|division
32|of
33|closely
34|hold
35|Duchossois_Industries_Inc.
36|Elmhurst
37|Ill
38|this
39|year
40|railroad
41|company
42|acquire
43|850
44|such
45|form
46|asbestos
47|once
48|use
49|Kent
50|cigarette
51|filter
52|PERF
53|cause
54|high
55|percentage
56|cancer
57|death
58|among
59|group
60|worker
61|expose
62|to
63|30
64|ago
65|researcher
66|report
67|fiber
68|crocidolite
69|be
70|unusually
71|resilient
72|enter
73|lung
74|with
75|even
76|brief
77|exposure
78|symptom
79|show
80|up
81|decade
82|later
83|Lorillard_Inc.
84|unit
85|New
86|York&#45;based
87|Loews_Corp.
88|stop
89|its
90|Micronite
91|1956
92|although
93|preliminary
94|finding
95|latest
96|result
97|appear
98|today
99|New_England_Journal
100|Medicine
101|forum
102|likely
103|bring
104|new
105|attention
106|problem
107|Lorillard
108|spokewoman
109|quote&#45;rel
110|an
111|old
112|story
113|we
114|PROG
115|talk
116|about
117|before
118|anyone
119|hear
120|have
121|any
122|questionable
123|property
124|there
125|no
126|our
127|product
128|now
129|neither
130|nor
131|study
132|aware
134|smoker
135|useful
136|information
137|whether
138|user
139|at
140|risk
141|James_A._Talcott
142|Boston
143|Dana&#45;Farber_Cancer_Institute
144|Dr._Talcott
145|lead
146|team
147|from
148|National_Cancer_Institute
149|and
150|medical
151|school
152|Harvard_University
153|Boston_University
154|spokeswoman
155|very
156|modest
157|amount
158|paper
159|early
160|1950s
161|replace
162|different
163|type
164|1953
165|1955
166|9.8_billion
167|sell
168|33
169|man
170|work
171|substance
172|28
173|die
174|&#45;&#45;
175|three
176|time
177|expect
178|number
179|four
180|five
181|survive
182|asbestos&#45;related
183|disease
184|include
185|recently
186|diagnose
187|total
188|18
189|malignant
190|mesothelioma
191|
192|asbestosis
193|far
194|higher
195|morbidity
196|rate
197|striking
198|those
199|us
200|West
201|Groton
202|Mass.
203|factory
204|highest
205|Western
206|industrialize
207|country
208|he
209|plant
210|own
211|Hollingsworth
212|&amp;
213|Vose_Co.
214|under
215|contract
216|probably
217|support
218|argue
219|U.S.
220|should
221|regulate
222|class
223|stringently
224|common
225|kind
226|chrysotile
227|find
228|most
229|other
230|building
231|one
232|few
233|nation
234|do
235|n&apos;t
236|standard
237|regulation
238|smooth
239|needle&#45;like
240|as
241|classify
242|amphobile
243|accord
244|Brooke_T._Mossman
245|professor
246|pathlogy
247|University
248|Vermont
249|College
250|curly
251|easily
252|reject
253|body
254|Dr._Mossman
255|explain
256|July
257|Environmental_Protection_Agency
258|impose
259|gradual
260|ban
261|virtually
262|all
263|1997
264|almost
265|remain
266|cancer&#45;causing
267|outlaw
268|160
269|area
270|particularly
271|dusty
272|where
273|dump
274|large
275|burlap
276|sack
277|import
278|material
279|into
280|huge
281|bin
282|pour
283|cotton
284|acetate
285|mechanically
286|mix
287|dry
288|process
289|describe
290|cloud
291|blue
292|dust
293|hang
294|over
295|part
296|though
297|exhaust
298|fan
299|ventilate
300|question
301|that
302|some
303|manager
304|Darrell_Phillips
305|vice
306|president
307|human
308|resource
309|Vose
310|but
311|you
312|recognize
313|these
314|event
315|take.14
316|place
317|35
318|bearing
319|force
320|McDermott_International_Inc.
321|Babcock
322|Wilcox
323|complete
324|sale
325|Bailey_Controls_Operations
326|Finmeccanica
327|S.p
328|A.
329|$_295_million
330|Italian
331|state&#45;owned
332|interest
333|mechanical
334|engineering
335|industry
336|Bailey_Controls
337|base
338|Wickliffe
339|Ohio
340|computerized
341|industrial
342|control
343|system
344|employ
345|2700
346|people
347|annual
348|revenue
349|$_370_million
350|White_House
351|President_Bush
352|approve
353|duty&#45;free
354|treatment
355|certain
356|watch
357|produce
358|significant
359|quantity
360|Virgin_Islands
361|possession
362|action
363|come
364|response
365|petition
366|file
367|Timex_Inc.
368|change
369|U.S._Generalized_System
370|Preferences
371|develop
372|previously
373|deny
374|Timex
375|request
376|many
377|cover
378|58
379|tariff
380|classification
381|Mr._Bush
382|decide
383|grant
384|status
385|category
386|turn
387|down
388|because
389|potential
390|injury
391|producer
392|locate
393|major
394|seller
395|low&#45;priced
396|battery&#45;operated
397|assemble
398|Philippines
399|preference
400|trade
401|official
